epoch,train_loss,val_loss,lr
1,0.025407878139300736,0.0006626826675958,3.2500000000000004e-05
2,0.0006617099176481133,0.0006563451511319726,5.500000000000001e-05
3,0.0006615383628843119,0.0006562273078365252,7.75e-05
4,0.0006616846068965969,0.000656694068282377,0.0001
5,0.0006615760224260157,0.0006568188154604286,7.75e-05
6,0.0006605579430004582,0.0006567049084231257,5.500000000000001e-05
7,0.0006598348254628945,0.0006581996138440445,3.2500000000000004e-05
8,0.000659292791489861,0.0006570093775400892,1e-05
9,0.0006587753721629269,0.0006563398124999367,3.2500000000000004e-05
10,0.0006593037949205609,0.0006567401043954305,5.500000000000001e-05
11,0.000659742111180094,0.0006564664017991163,7.75e-05
12,0.0006601336047751829,0.0006566978813149035,0.0001
13,0.0006603025244228775,0.0006571756758377887,7.75e-05
